Cr	Ni	Mo	Mn	Si	Nb	Ti	Zr	Ta	V	W	Cu	N	C	B	P	S	Co	Al	Sn	Pb	Solution_treatment_temperature	Solution_treatment_time(s)	WQ	AQ	GS	Type of melting	Size of ingot	Product form	Temperature (K)	YS(MPa)	UTS(MPa)	El(%)	Area_reduction (%)	Comments
18.7	10.69	0.47	1.56	0.62	0.01	0.04	0	0	0	0	0.17	0.031	0.062	0.0007	0.025	0.013	0	0.047	0	0	1403	Na	1	0	477.7128917	1	3	1	1023	148	223	60	67	NRIM/CDS/No4B/1986 ABA
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	298	265	610	69	82	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	373	235	496	57	82	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	473	208	453	43	78	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	573	183	453	44	72	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	673	193	454	45	73	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	773	169	426	42	72	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	823	172	408	39	70	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	873	148	374	43	73	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	923	155	322	47	63	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	973	138	259	61	60	NRIM/CDS/No4B/1986 ABB
18.34	10.15	0.36	1.52	0.41	0.005	0.064	0	0	0	0	0.19	0.029	0.054	0.001	0.031	0.02	0	0.01	0	0	1403	Na	1	0	315.1729698	1	3	1	1023	125	212	77	68	NRIM/CDS/No4B/1986 ABB
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	298	245	590	69	82	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	373	228	493	58	80	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	473	202	452	45	76	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	573	198	462	44	75	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	673	187	455	44	71	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	773	160	425	41	71	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	823	166	409	40	73	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	873	159	375	43	70	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	923	152	324	47	64	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	973	137	266	53	66	NRIM/CDS/No4B/1986 ABC
18.5	10.1	0.36	1.52	0.4	0.005	0.054	0	0	0	0	0.16	0.03	0.056	0.0011	0.03	0.016	0	0.012	0	0	1403	Na	1	0	274.3740064	1	3	1	1023	111	201	61	64	NRIM/CDS/No4B/1986 ABC
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	298	265	610	73	82	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	373	208	484	62	82	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	473	196	452	47	80	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	573	176	453	46	74	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	673	166	448	47	73	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	773	151	421	43	71	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	823	158	401	43	74	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	873	145	372	43	75	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	923	135	317	47	75	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	973	129	256	67	75	NRIM/CDS/No4B/1986 ABD
18.7	9.68	0.06	1.49	0.52	0.005	0.006	0	0	0	0	0.06	0.027	0.07	0.0013	0.023	0.006	0	0.01	0	0	Na	Na	Na	Na	207.9366135	1	3	1	1023	120	204	82	76	NRIM/CDS/No4B/1986 ABD
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	298	260	620	71	84	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	373	236	500	61	82	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	473	201	462	47	80	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	573	181	459	46	76	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	673	167	455	45	75	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	773	165	430	44	73	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	823	160	405	42	74	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	873	151	377	43	75	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	923	137	295	59	77	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	973	131	267	61	81	NRIM/CDS/No4B/1986 ABE
18.95	9.57	0.04	1.46	0.55	0.005	0.062	0	0	0	0	0.07	0.0278	0.07	0.0018	0.023	0.006	0	0.014	0	0	Na	Na	Na	Na	274.3740064	1	3	1	1023	119	185	74	83	NRIM/CDS/No4B/1986 ABE
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	298	280	650	71	83	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	373	244	523	60	80	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	473	213	492	45	79	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	573	192	491	46	76	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	673	187	489	50	73	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	773	182	459	42	73	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	823	169	437	45	73	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	873	161	408	43	76	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	923	150	337	49	76	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	973	141	280	57	78	NRIM/CDS/No4B/1986 ABF
18.25	9.8	0.06	1.34	0.62	0.005	0.02	0	0	0	0	0.05	0.0348	0.08	0.0017	0.021	0.006	0	0.013	0	0	Na	Na	Na	Na	588.1335578	1	3	1	1023	130	222	77	80	NRIM/CDS/No4B/1986 ABF
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	298	210	620	71	81	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	373	207	503	62	82	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	473	177	465	46	77	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	573	162	468	45	71	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	673	154	463	47	73	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	773	145	441	43	69	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	823	139	419	42	70	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	873	134	393	43	70	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	923	116	334	46	66	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	973	128	251	47	69	NRIM/CDS/No4B/1986 ABL
18.16	9.8	0.05	1.47	0.58	0.04	0.031	0	0	0	0	0.14	0.031	0.07	0.0003	0.022	0.013	0	0.015	0	0	1343	600	1	0	238.8564458	1	4.5	1	1023	108	220	75	74	NRIM/CDS/No4B/1986 ABL
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	298	220	610	71	79	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	373	209	508	59	79	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	473	183	471	46	76	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	573	158	473	47	71	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	673	145	468	47	71	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	773	148	447	44	70	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	823	143	432	43	68	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	873	145	397	42	65	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	923	129	347	46	65	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	973	119	275	53	62	NRIM/CDS/No4B/1986 ABM
18.24	10.27	0.32	1.56	0.61	0.03	0.036	0	0	0	0	0.16	0.038	0.09	0.0001	0.022	0.014	0	0.014	0	0	1343	600	1	0	256	1	4.5	1	1023	114	231	62	71	NRIM/CDS/No4B/1986 ABM
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	298	230	620	72	80	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	373	239	505	59	80	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	473	172	472	47	76	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	573	159	476	46	72	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	673	160	477	47	68	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	773	155	454	44	68	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	823	140	438	44	71	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	873	131	395	47	69	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	923	134	349	48	61	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	973	119	292	55	61	NRIM/CDS/No4B/1986 ABN
18.18	10.26	0.31	1.58	0.6	0.04	0.04	0	0	0	0	0.12	0.028	0.07	0.0008	0.022	0.012	0	0.014	0	0	1343	600	1	0	256	1	4.8	1	1023	114	230	68	70	NRIM/CDS/No4B/1986 ABN
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	298	285	560	73	81	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	373	192	466	59	80	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	473	191	436	44	73	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	573	184	439	46	71	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	673	156	441	45	66	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	773	154	428	44	66	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	823	140	420	43	62	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	873	156	401	44	68	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	923	143	379	38	66	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
17.8	11.23	0.11	1.49	0.62	0.005	0.39	0	0	0	0	0.09	0.0116	0.07	0.0001	0.023	0.006	0	0.013	0	0	Na	Na	Na	Na	119.4282229	1	3	1	973	126	339	41	61	"NRIM/CDS/No5B/1987,Nb is Nb+Ta, ACA"
